[2023-05-22 10:21:42,705987] admin.INFO  [NULL] [f9b320c7] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /bkadmin/, 45.126.3.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 10:21:42,733235] admin.INFO  [d550fc4f] [f9b320c7] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["admin_homepage"]  [GET, /bkadmin/, 45.126.3.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 10:21:42,733534] admin.INFO  [d550fc4f] [f9b320c7] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_homepage"]  [GET, /bkadmin/, 45.126.3.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 10:21:47,865839] admin.INFO  [NULL] [3275b5c9] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [POST, /bkadmin/login_check, 45.126.3.252, https://biken-shop-mall.com/bkadmin/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 10:21:47,880184] admin.INFO  [992e428a] [3275b5c9] [4] [LogListener:onKernelResponse:86] - LOGIC END ["bkadmin_login_check"]  [POST, /bkadmin/login_check, 45.126.3.252, https://biken-shop-mall.com/bkadmin/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 10:21:47,880548] admin.INFO  [992e428a] [3275b5c9] [4] [LogListener:onKernelTerminate:95] - PROCESS END ["bkadmin_login_check"]  [POST, /bkadmin/login_check, 45.126.3.252, https://biken-shop-mall.com/bkadmin/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 10:21:48,042346] admin.INFO  [NULL] [2f7ffbcd] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /bkadmin/, 45.126.3.252, https://biken-shop-mall.com/bkadmin/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 10:21:48,047498] admin.INFO  [992e428a] [2f7ffbcd] [4] [LogListener:onKernelRequest:60] - PROCESS START ["admin_homepage"]  [GET, /bkadmin/, 45.126.3.252, https://biken-shop-mall.com/bkadmin/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 10:21:48,051541] admin.INFO  [992e428a] [2f7ffbcd] [4] [LogListener:onKernelController:73] - LOGIC START ["admin_homepage"]  [GET, /bkadmin/, 45.126.3.252, https://biken-shop-mall.com/bkadmin/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 10:21:48,107902] admin.INFO  [992e428a] [2f7ffbcd] [4] [LogListener:onKernelResponse:86] - LOGIC END ["admin_homepage"]  [GET, /bkadmin/, 45.126.3.252, https://biken-shop-mall.com/bkadmin/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-22 10:21:48,108628] admin.INFO  [992e428a] [2f7ffbcd] [4] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_homepage"]  [GET, /bkadmin/, 45.126.3.252, https://biken-shop-mall.com/bkadmin/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
