[2023-05-18 00:12:29,376063] front.INFO  [NULL] [d46f531a] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/63, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-05-18 00:12:29,376736] front.INFO  [NULL] [d46f531a] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/63, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-05-18 00:12:29,384824] front.INFO  [7b92395a] [d46f531a] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/63, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-05-18 00:12:29,413528] front.INFO  [7b92395a] [d46f531a] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/63, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-05-18 00:12:29,414115] front.INFO  [7b92395a] [d46f531a] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [GET, /products/detail/63, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-05-18 00:43:29,063546] front.INFO  [NULL] [6bfa6e93] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/79, 49.98.75.166, android-app://jp.naver.line.android/, Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36]
[2023-05-18 00:43:29,064225] front.INFO  [NULL] [6bfa6e93] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/79, 49.98.75.166, android-app://jp.naver.line.android/, Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36]
[2023-05-18 00:43:29,072277] front.INFO  [6c273808] [6bfa6e93] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/79, 49.98.75.166, android-app://jp.naver.line.android/, Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36]
[2023-05-18 00:43:29,101289] front.INFO  [6c273808] [6bfa6e93] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/79, 49.98.75.166, android-app://jp.naver.line.android/, Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36]
[2023-05-18 00:43:29,101867] front.INFO  [6c273808] [6bfa6e93] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [GET, /products/detail/79, 49.98.75.166, android-app://jp.naver.line.android/, Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36]
[2023-05-18 00:43:53,922595] front.INFO  [NULL] [935c070c] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/77, 49.98.75.166, android-app://jp.naver.line.android/, Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36]
