[2023-05-31 00:00:23,293108] front.INFO  [NULL] [76d76f17] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [POST, /epsilon_pay_complete.php, 210.254.37.215, NULL, libwww-perl/6.38]
[2023-05-31 00:00:23,294422] front.INFO  [NULL] [76d76f17] [NULL] [LogListener:onKernelException:105] - No route found for "POST /epsilon_pay_complete.php" [404]  [POST, /epsilon_pay_complete.php, 210.254.37.215, NULL, libwww-perl/6.38]
[2023-05-31 00:00:23,296186] front.INFO  [d3eb4bc9] [76d76f17] [NULL] [LogListener:onKernelResponse:86] - LOGIC END [null]  [POST, /epsilon_pay_complete.php, 210.254.37.215, NULL, libwww-perl/6.38]
[2023-05-31 00:00:23,296483] front.INFO  [d3eb4bc9] [76d76f17] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END [null]  [POST, /epsilon_pay_complete.php, 210.254.37.215, NULL, libwww-perl/6.38]
[2023-05-31 00:31:42,150019] front.INFO  [NULL] [4794191c] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/63, 147.92.179.118, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-05-31 00:31:42,150727] front.INFO  [NULL] [4794191c] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/63, 147.92.179.118, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-05-31 00:31:42,159161] front.INFO  [fbd88a44] [4794191c] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/63, 147.92.179.118, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-05-31 00:31:42,176051] front.INFO  [fbd88a44] [4794191c] [NULL] [LogListener:onKernelException:105] -  [404]  [GET, /products/detail/63, 147.92.179.118, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-05-31 00:31:42,177150] front.INFO  [fbd88a44] [4794191c] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/63, 147.92.179.118, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-05-31 00:31:42,177649] front.INFO  [fbd88a44] [4794191c] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [GET, /products/detail/63, 147.92.179.118, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-05-31 00:38:56,689650] front.INFO  [NULL] [3b15d129] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/63, 119.229.184.87, NULL, Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Safari Line/12.21.0]
