[2023-06-01 00:04:26,522832] front.INFO  [NULL] [1fa4a36a] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/78, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-01 00:04:26,523580] front.INFO  [NULL] [1fa4a36a] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/78, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-01 00:04:26,532050] front.INFO  [440069f2] [1fa4a36a] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/78, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-01 00:04:26,548259] front.INFO  [440069f2] [1fa4a36a] [NULL] [LogListener:onKernelException:105] -  [404]  [GET, /products/detail/78, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-01 00:04:26,549404] front.INFO  [440069f2] [1fa4a36a] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/78, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-01 00:04:26,549837] front.INFO  [440069f2] [1fa4a36a] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [GET, /products/detail/78, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-01 00:04:26,958439] front.INFO  [NULL] [6ca02fac] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/76, 147.92.179.111, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-01 00:04:26,958972] front.INFO  [NULL] [6ca02fac] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/76, 147.92.179.111, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-01 00:04:26,966818] front.INFO  [39935259] [6ca02fac] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/76, 147.92.179.111, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-01 00:04:26,981814] front.INFO  [39935259] [6ca02fac] [NULL] [LogListener:onKernelException:105] -  [404]  [GET, /products/detail/76, 147.92.179.111, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-01 00:04:26,982615] front.INFO  [39935259] [6ca02fac] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/76, 147.92.179.111, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-01 00:04:26,983027] front.INFO  [39935259] [6ca02fac] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [GET, /products/detail/76, 147.92.179.111, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-01 00:35:18,657347] front.INFO  [NULL] [9a330a58] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/81, 121.103.66.39, https://kuninaga.hp.peraichi.com/, Mozilla/5.0 (Linux; Android 13; Pixel 6a Build/TQ2A.230305.008.E1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/113.0.5672.131 Mobile Safari/537.36 Line/13.7.1/IAB]
[2023-06-01 00:35:18,658189] front.INFO  [ec2e6a1a] [9a330a58] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/81, 121.103.66.39, https://kuninaga.hp.peraichi.com/, Mozilla/5.0 (Linux; Android 13; Pixel 6a Build/TQ2A.230305.008.E1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/113.0.5672.131 Mobile Safari/537.36 Line/13.7.1/IAB]
[2023-06-01 00:35:18,666349] front.INFO  [ec2e6a1a] [9a330a58] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/81, 121.103.66.39, https://kuninaga.hp.peraichi.com/, Mozilla/5.0 (Linux; Android 13; Pixel 6a Build/TQ2A.230305.008.E1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/113.0.5672.131 Mobile Safari/537.36 Line/13.7.1/IAB]
[2023-06-01 00:35:18,696530] front.INFO  [ec2e6a1a] [9a330a58] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/81, 121.103.66.39, https://kuninaga.hp.peraichi.com/, Mozilla/5.0 (Linux; Android 13; Pixel 6a Build/TQ2A.230305.008.E1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/113.0.5672.131 Mobile Safari/537.36 Line/13.7.1/IAB]
