[2023-06-05 00:59:39,070889] front.INFO  [NULL] [f2215bdc] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /adminer.php, 185.245.80.185, NULL, Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:90.0) Gecko/20100101 Firefox/90.0]
[2023-06-05 00:59:39,072348] front.INFO  [NULL] [f2215bdc] [NULL] [LogListener:onKernelException:105] - No route found for "GET /adminer.php" [404]  [GET, /adminer.php, 185.245.80.185, NULL, Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:90.0) Gecko/20100101 Firefox/90.0]
[2023-06-05 00:59:39,074122] front.INFO  [6adb6d02] [f2215bdc] [NULL] [LogListener:onKernelResponse:86] - LOGIC END [null]  [GET, /adminer.php, 185.245.80.185, NULL, Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:90.0) Gecko/20100101 Firefox/90.0]
[2023-06-05 00:59:39,074434] front.INFO  [6adb6d02] [f2215bdc] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END [null]  [GET, /adminer.php, 185.245.80.185, NULL, Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:90.0) Gecko/20100101 Firefox/90.0]
[2023-06-05 01:53:23,216048] front.INFO  [NULL] [84fbb014] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [POST, /ALFA_DATA/alfacgiapi/perl.alfa, 2.58.56.72, www.google.com, Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 01:53:23,217424] front.INFO  [NULL] [84fbb014] [NULL] [LogListener:onKernelException:105] - No route found for "POST /ALFA_DATA/alfacgiapi/perl.alfa" (from "www.google.com") [404]  [POST, /ALFA_DATA/alfacgiapi/perl.alfa, 2.58.56.72, www.google.com, Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 01:53:23,219366] front.INFO  [1f2a4641] [84fbb014] [NULL] [LogListener:onKernelResponse:86] - LOGIC END [null]  [POST, /ALFA_DATA/alfacgiapi/perl.alfa, 2.58.56.72, www.google.com, Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 01:53:23,219683] front.INFO  [1f2a4641] [84fbb014] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END [null]  [POST, /ALFA_DATA/alfacgiapi/perl.alfa, 2.58.56.72, www.google.com, Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 01:53:23,216063] front.INFO  [NULL] [b46a8fa7] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [POST, /wp-plain.php, 2.58.56.72, www.google.com, Mozilla/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 01:53:23,217453] front.INFO  [NULL] [b46a8fa7] [NULL] [LogListener:onKernelException:105] - No route found for "POST /wp-plain.php" (from "www.google.com") [404]  [POST, /wp-plain.php, 2.58.56.72, www.google.com, Mozilla/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 01:53:23,219465] front.INFO  [57e70a4d] [b46a8fa7] [NULL] [LogListener:onKernelResponse:86] - LOGIC END [null]  [POST, /wp-plain.php, 2.58.56.72, www.google.com, Mozilla/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 01:53:23,219809] front.INFO  [57e70a4d] [b46a8fa7] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END [null]  [POST, /wp-plain.php, 2.58.56.72, www.google.com, Mozilla/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 01:53:23,219533] front.INFO  [NULL] [13cab6be] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /wp-content/plugins/dzs-zoomsounds/savepng.php?location=1877.php, 2.58.56.72, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
[2023-06-05 01:53:23,220925] front.INFO  [NULL] [13cab6be] [NULL] [LogListener:onKernelException:105] - No route found for "GET /wp-content/plugins/dzs-zoomsounds/savepng.php" [404]  [GET, /wp-content/plugins/dzs-zoomsounds/savepng.php?location=1877.php, 2.58.56.72, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
[2023-06-05 01:53:23,222568] front.INFO  [e1ccf892] [13cab6be] [NULL] [LogListener:onKernelResponse:86] - LOGIC END [null]  [GET, /wp-content/plugins/dzs-zoomsounds/savepng.php?location=1877.php, 2.58.56.72, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
