[2023-06-12 00:06:53,830492] front.INFO  [NULL] [2406b6ee] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/78, 147.92.179.108, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 00:06:53,831179] front.INFO  [NULL] [2406b6ee] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/78, 147.92.179.108, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 00:06:53,839970] front.INFO  [2af9d711] [2406b6ee] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/78, 147.92.179.108, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 00:06:53,855703] front.INFO  [2af9d711] [2406b6ee] [NULL] [LogListener:onKernelException:105] -  [404]  [GET, /products/detail/78, 147.92.179.108, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 00:06:53,856779] front.INFO  [2af9d711] [2406b6ee] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/78, 147.92.179.108, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 00:06:53,857194] front.INFO  [2af9d711] [2406b6ee] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [GET, /products/detail/78, 147.92.179.108, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 00:06:54,075708] front.INFO  [NULL] [1aa7d7c6] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/76, 147.92.179.108, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 00:06:54,076232] front.INFO  [NULL] [1aa7d7c6] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/76, 147.92.179.108, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 00:06:54,085081] front.INFO  [1c332e2b] [1aa7d7c6] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/76, 147.92.179.108, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 00:06:54,101495] front.INFO  [1c332e2b] [1aa7d7c6] [NULL] [LogListener:onKernelException:105] -  [404]  [GET, /products/detail/76, 147.92.179.108, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 00:06:54,102508] front.INFO  [1c332e2b] [1aa7d7c6] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/76, 147.92.179.108, NULL, facebookexternalhit/1.1;line-poker/1.0]
