[2023-05-18 00:12:29,376465] eccube.INFO  [NULL] [c290041f] [NULL] [RouterListener:onKernelRequest:148] - Matched route "product_detail". {"route_parameters":{"_controller":"\\Eccube\\Controller\\ProductController::detail","id":"63","_route":"product_detail"},"request_uri":"https://biken-shop-mall.com/products/detail/63"}  [GET, /products/detail/63, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-05-18 00:12:29,376700] eccube.INFO  [NULL] [c290041f] [NULL] [AnonymousAuthenticationListener:handle:60] - Populated the TokenStorage with an anonymous Token.   [GET, /products/detail/63, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-05-18 00:12:29,377062] eccube.INFO  [7b92395a] [c290041f] [NULL] [LogListener:logRequest:83] - > GET /products/detail/63   [GET, /products/detail/63, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-05-18 00:12:29,406798] eccube.INFO  [7b92395a] [c290041f] [NULL] [RouterListener:onKernelRequest:148] - Matched route "block_cart". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\CartController::index","_route":"block_cart"},"request_uri":"https://biken-shop-mall.com/block/cart"}  [GET, /products/detail/63, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-05-18 00:12:29,407572] eccube.INFO  [7b92395a] [c290041f] [NULL] [RouterListener:onKernelRequest:148] - Matched route "block_search_product". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\SearchProductController::index","_route":"block_search_product"},"request_uri":"https://biken-shop-mall.com/block/search_product"}  [GET, /products/detail/63, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-05-18 00:12:29,410892] eccube.INFO  [7b92395a] [c290041f] [NULL] [RouterListener:onKernelRequest:148] - Matched route "block_login". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\LoginController::index","_route":"block_login"},"request_uri":"https://biken-shop-mall.com/block/login"}  [GET, /products/detail/63, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-05-18 00:12:29,413547] eccube.INFO  [7b92395a] [c290041f] [NULL] [LogListener:logResponse:96] - < 200   [GET, /products/detail/63, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-05-18 00:43:29,063959] eccube.INFO  [NULL] [bff9aa8a] [NULL] [RouterListener:onKernelRequest:148] - Matched route "product_detail". {"route_parameters":{"_controller":"\\Eccube\\Controller\\ProductController::detail","id":"79","_route":"product_detail"},"request_uri":"https://biken-shop-mall.com/products/detail/79"}  [GET, /products/detail/79, 49.98.75.166, android-app://jp.naver.line.android/, Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36]
[2023-05-18 00:43:29,064191] eccube.INFO  [NULL] [bff9aa8a] [NULL] [AnonymousAuthenticationListener:handle:60] - Populated the TokenStorage with an anonymous Token.   [GET, /products/detail/79, 49.98.75.166, android-app://jp.naver.line.android/, Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36]
[2023-05-18 00:43:29,064534] eccube.INFO  [6c273808] [bff9aa8a] [NULL] [LogListener:logRequest:83] - > GET /products/detail/79   [GET, /products/detail/79, 49.98.75.166, android-app://jp.naver.line.android/, Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36]
[2023-05-18 00:43:29,095429] eccube.INFO  [6c273808] [bff9aa8a] [NULL] [RouterListener:onKernelRequest:148] - Matched route "block_cart". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\CartController::index","_route":"block_cart"},"request_uri":"https://biken-shop-mall.com/block/cart"}  [GET, /products/detail/79, 49.98.75.166, android-app://jp.naver.line.android/, Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36]
[2023-05-18 00:43:29,096191] eccube.INFO  [6c273808] [bff9aa8a] [NULL] [RouterListener:onKernelRequest:148] - Matched route "block_search_product". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\SearchProductController::index","_route":"block_search_product"},"request_uri":"https://biken-shop-mall.com/block/search_product"}  [GET, /products/detail/79, 49.98.75.166, android-app://jp.naver.line.android/, Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36]
[2023-05-18 00:43:29,099507] eccube.INFO  [6c273808] [bff9aa8a] [NULL] [RouterListener:onKernelRequest:148] - Matched route "block_login". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\LoginController::index","_route":"block_login"},"request_uri":"https://biken-shop-mall.com/block/login"}  [GET, /products/detail/79, 49.98.75.166, android-app://jp.naver.line.android/, Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36]
[2023-05-18 00:43:29,101306] eccube.INFO  [6c273808] [bff9aa8a] [NULL] [LogListener:logResponse:96] - < 200   [GET, /products/detail/79, 49.98.75.166, android-app://jp.naver.line.android/, Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36]
[2023-05-18 00:43:53,923065] eccube.INFO  [NULL] [e92cacba] [NULL] [RouterListener:onKernelRequest:148] - Matched route "product_detail". {"route_parameters":{"_controller":"\\Eccube\\Controller\\ProductController::detail","id":"77","_route":"product_detail"},"request_uri":"https://biken-shop-mall.com/products/detail/77"}  [GET, /products/detail/77, 49.98.75.166, android-app://jp.naver.line.android/, Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36]
[2023-05-18 00:43:53,923331] eccube.INFO  [NULL] [e92cacba] [NULL] [AnonymousAuthenticationListener:handle:60] - Populated the TokenStorage with an anonymous Token.   [GET, /products/detail/77, 49.98.75.166, android-app://jp.naver.line.android/, Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36]
