[2023-06-01 00:04:26,523273] eccube.INFO  [NULL] [4c6d8090] [NULL] [RouterListener:onKernelRequest:148] - Matched route "product_detail". {"route_parameters":{"_controller":"\\Eccube\\Controller\\ProductController::detail","id":"78","_route":"product_detail"},"request_uri":"https://biken-shop-mall.com/products/detail/78"}  [GET, /products/detail/78, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-01 00:04:26,523544] eccube.INFO  [NULL] [4c6d8090] [NULL] [AnonymousAuthenticationListener:handle:60] - Populated the TokenStorage with an anonymous Token.   [GET, /products/detail/78, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-01 00:04:26,523987] eccube.INFO  [440069f2] [4c6d8090] [NULL] [LogListener:logRequest:83] - > GET /products/detail/78   [GET, /products/detail/78, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-01 00:04:26,548287] eccube.ERROR [440069f2] [4c6d8090] [NULL] [LogListener:logException:110] - Symfony\Component\HttpKernel\Exception\NotFoundHttpException:  (uncaught exception) at /home/wp614605/biken-shop-mall.com/public_html/src/Eccube/Controller/ProductController.php line 212 {"exception":"[object] (Symfony\\Component\\HttpKernel\\Exception\\NotFoundHttpException(code: 0):  at /home/wp614605/biken-shop-mall.com/public_html/src/Eccube/Controller/ProductController.php:212)"}  [GET, /products/detail/78, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-01 00:04:26,549423] eccube.INFO  [440069f2] [4c6d8090] [NULL] [LogListener:logResponse:96] - < 404   [GET, /products/detail/78, 147.92.179.106, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-01 00:04:26,958783] eccube.INFO  [NULL] [6693e893] [NULL] [RouterListener:onKernelRequest:148] - Matched route "product_detail". {"route_parameters":{"_controller":"\\Eccube\\Controller\\ProductController::detail","id":"76","_route":"product_detail"},"request_uri":"https://biken-shop-mall.com/products/detail/76"}  [GET, /products/detail/76, 147.92.179.111, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-01 00:04:26,958939] eccube.INFO  [NULL] [6693e893] [NULL] [AnonymousAuthenticationListener:handle:60] - Populated the TokenStorage with an anonymous Token.   [GET, /products/detail/76, 147.92.179.111, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-01 00:04:26,959264] eccube.INFO  [39935259] [6693e893] [NULL] [LogListener:logRequest:83] - > GET /products/detail/76   [GET, /products/detail/76, 147.92.179.111, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-01 00:04:26,981839] eccube.ERROR [39935259] [6693e893] [NULL] [LogListener:logException:110] - Symfony\Component\HttpKernel\Exception\NotFoundHttpException:  (uncaught exception) at /home/wp614605/biken-shop-mall.com/public_html/src/Eccube/Controller/ProductController.php line 212 {"exception":"[object] (Symfony\\Component\\HttpKernel\\Exception\\NotFoundHttpException(code: 0):  at /home/wp614605/biken-shop-mall.com/public_html/src/Eccube/Controller/ProductController.php:212)"}  [GET, /products/detail/76, 147.92.179.111, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-01 00:04:26,982633] eccube.INFO  [39935259] [6693e893] [NULL] [LogListener:logResponse:96] - < 404   [GET, /products/detail/76, 147.92.179.111, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-01 00:35:18,657768] eccube.INFO  [NULL] [8341baf4] [NULL] [RouterListener:onKernelRequest:148] - Matched route "product_detail". {"route_parameters":{"_controller":"\\Eccube\\Controller\\ProductController::detail","id":"81","_route":"product_detail"},"request_uri":"https://biken-shop-mall.com/products/detail/81"}  [GET, /products/detail/81, 121.103.66.39, https://kuninaga.hp.peraichi.com/, Mozilla/5.0 (Linux; Android 13; Pixel 6a Build/TQ2A.230305.008.E1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/113.0.5672.131 Mobile Safari/537.36 Line/13.7.1/IAB]
