[2023-06-12 00:06:53,830903] eccube.INFO  [NULL] [099fb256] [NULL] [RouterListener:onKernelRequest:148] - Matched route "product_detail". {"route_parameters":{"_controller":"\\Eccube\\Controller\\ProductController::detail","id":"78","_route":"product_detail"},"request_uri":"https://biken-shop-mall.com/products/detail/78"}  [GET, /products/detail/78, 147.92.179.108, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 00:06:53,831144] eccube.INFO  [NULL] [099fb256] [NULL] [AnonymousAuthenticationListener:handle:60] - Populated the TokenStorage with an anonymous Token.   [GET, /products/detail/78, 147.92.179.108, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 00:06:53,831534] eccube.INFO  [2af9d711] [099fb256] [NULL] [LogListener:logRequest:83] - > GET /products/detail/78   [GET, /products/detail/78, 147.92.179.108, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 00:06:53,855724] eccube.ERROR [2af9d711] [099fb256] [NULL] [LogListener:logException:110] - Symfony\Component\HttpKernel\Exception\NotFoundHttpException:  (uncaught exception) at /home/wp614605/biken-shop-mall.com/public_html/src/Eccube/Controller/ProductController.php line 212 {"exception":"[object] (Symfony\\Component\\HttpKernel\\Exception\\NotFoundHttpException(code: 0):  at /home/wp614605/biken-shop-mall.com/public_html/src/Eccube/Controller/ProductController.php:212)"}  [GET, /products/detail/78, 147.92.179.108, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 00:06:53,856797] eccube.INFO  [2af9d711] [099fb256] [NULL] [LogListener:logResponse:96] - < 404   [GET, /products/detail/78, 147.92.179.108, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 00:06:54,076061] eccube.INFO  [NULL] [820cee63] [NULL] [RouterListener:onKernelRequest:148] - Matched route "product_detail". {"route_parameters":{"_controller":"\\Eccube\\Controller\\ProductController::detail","id":"76","_route":"product_detail"},"request_uri":"https://biken-shop-mall.com/products/detail/76"}  [GET, /products/detail/76, 147.92.179.108, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 00:06:54,076200] eccube.INFO  [NULL] [820cee63] [NULL] [AnonymousAuthenticationListener:handle:60] - Populated the TokenStorage with an anonymous Token.   [GET, /products/detail/76, 147.92.179.108, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 00:06:54,076586] eccube.INFO  [1c332e2b] [820cee63] [NULL] [LogListener:logRequest:83] - > GET /products/detail/76   [GET, /products/detail/76, 147.92.179.108, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 00:06:54,101522] eccube.ERROR [1c332e2b] [820cee63] [NULL] [LogListener:logException:110] - Symfony\Component\HttpKernel\Exception\NotFoundHttpException:  (uncaught exception) at /home/wp614605/biken-shop-mall.com/public_html/src/Eccube/Controller/ProductController.php line 212 {"exception":"[object] (Symfony\\Component\\HttpKernel\\Exception\\NotFoundHttpException(code: 0):  at /home/wp614605/biken-shop-mall.com/public_html/src/Eccube/Controller/ProductController.php:212)"}  [GET, /products/detail/76, 147.92.179.108, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 00:06:54,102528] eccube.INFO  [1c332e2b] [820cee63] [NULL] [LogListener:logResponse:96] - < 404   [GET, /products/detail/76, 147.92.179.108, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 03:17:04,744817] eccube.INFO  [NULL] [445c75df] [NULL] [RouterListener:onKernelRequest:148] - Matched route "homepage". {"route_parameters":{"_controller":"\\Eccube\\Controller\\TopController::index","_route":"homepage"},"request_uri":"http://www.biken-shop-mall.com/"}  [GET, /, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-12 03:17:04,745099] eccube.INFO  [NULL] [445c75df] [NULL] [AnonymousAuthenticationListener:handle:60] - Populated the TokenStorage with an anonymous Token.   [GET, /, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-12 03:17:04,745736] eccube.INFO  [27c4bb20] [445c75df] [NULL] [LogListener:logRequest:83] - > GET /   [GET, /, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-12 03:17:04,760621] eccube.INFO  [27c4bb20] [445c75df] [NULL] [RouterListener:onKernelRequest:148] - Matched route "block_cart". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\CartController::index","_route":"block_cart"},"request_uri":"http://www.biken-shop-mall.com/block/cart"}  [GET, /, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-12 03:17:04,761890] eccube.INFO  [27c4bb20] [445c75df] [NULL] [RouterListener:onKernelRequest:148] - Matched route "block_search_product". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\SearchProductController::index","_route":"block_search_product"},"request_uri":"http://www.biken-shop-mall.com/block/search_product"}  [GET, /, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-12 03:17:04,777435] eccube.INFO  [27c4bb20] [445c75df] [NULL] [RouterListener:onKernelRequest:148] - Matched route "block_login". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\LoginController::index","_route":"block_login"},"request_uri":"http://www.biken-shop-mall.com/block/login"}  [GET, /, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-12 03:17:04,778213] eccube.INFO  [27c4bb20] [445c75df] [NULL] [RouterListener:onKernelRequest:148] - Matched route "block_news". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\NewsController::index","_route":"block_news"},"request_uri":"http://www.biken-shop-mall.com/block/news"}  [GET, /, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-12 03:17:04,781598] eccube.INFO  [27c4bb20] [445c75df] [NULL] [RouterListener:onKernelRequest:148] - Matched route "block_plg_shiro8_gallary_block". {"route_parameters":{"_controller":"\\Plugin\\Shiro8GallaryBlock3\\Controller\\Block\\Shiro8GallaryController::index","_route":"block_plg_shiro8_gallary_block"},"request_uri":"http://www.biken-shop-mall.com/block/plg_shiro8_gallary_block"}  [GET, /, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-12 03:17:04,789562] eccube.INFO  [27c4bb20] [445c75df] [NULL] [LogListener:logResponse:96] - < 200   [GET, /, 52.167.144.162, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-12 04:33:15,717960] eccube.INFO  [NULL] [b0c74ece] [NULL] [RouterListener:onKernelRequest:148] - Matched route "homepage". {"route_parameters":{"_controller":"\\Eccube\\Controller\\TopController::index","_route":"homepage"},"request_uri":"http://biken-shop-mall.com/"}  [GET, /, 209.38.233.65, NULL, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36]
[2023-06-12 04:33:15,719233] eccube.INFO  [NULL] [b0c74ece] [NULL] [AnonymousAuthenticationListener:handle:60] - Populated the TokenStorage with an anonymous Token.   [GET, /, 209.38.233.65, NULL, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36]
[2023-06-12 04:33:15,719776] eccube.INFO  [7f930f35] [b0c74ece] [NULL] [LogListener:logRequest:83] - > GET /   [GET, /, 209.38.233.65, NULL, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36]
[2023-06-12 04:33:15,757443] eccube.INFO  [7f930f35] [b0c74ece] [NULL] [RouterListener:onKernelRequest:148] - Matched route "block_cart". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\CartController::index","_route":"block_cart"},"request_uri":"http://biken-shop-mall.com/block/cart"}  [GET, /, 209.38.233.65, NULL, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36]
[2023-06-12 04:33:15,760553] eccube.INFO  [7f930f35] [b0c74ece] [NULL] [RouterListener:onKernelRequest:148] - Matched route "block_search_product". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\SearchProductController::index","_route":"block_search_product"},"request_uri":"http://biken-shop-mall.com/block/search_product"}  [GET, /, 209.38.233.65, NULL, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36]
